name,win,linux,mac,author,description
APOCALYPSE FRAME,f,f,f,Binary Star Games,An Illuminated Mecha RPG.
Locus,f,f,f,CobblePath Games,Personal Horror Roleplaying game.
UMBRA: A Solo Game of Final Frontiers,f,f,f,BlackwellWriter,Discover and draw your own space colony in this lightweight zine.
T-DEF,f,f,f,Lari Assmuth,A GMless mini-zine game where you pit your troopers against alien invaders!
The White Door,t,f,t,Second Maze,A Rusty Lake puzzle adventure
Cosmic Express,t,t,t,Draknek & Friends,A puzzle game about planning the train route for the world's most awkward space colony
Cast Away,f,f,f,Afterthought Committee,The definitive tabletop survival RPG
Rusty Lake Hotel,t,f,t,Rusty Lake,A unique point-and-click adventure
Fake Chess,f,f,f,SPC,Play like a master.
Toree 3D,t,f,f,Siactro,A bite-sized PSX 3D Platformer with a few ...weird elements.
Disparateum,f,f,f,Rathayibacter,"A world-hopping, reality-bending tabletop RPG"
Stories to Astonish the World,f,f,f,yanahn,A pointcrawl RPG inspired by Chinese landscape paintings
Sodalitas,f,f,f,Jdrlab,Un jeu de rÃ´le / A roleplaying game
CanariPack 8BIT TopDown,f,f,f,Canari Games,"8/16BIT 16x16 Tileset, Animated Sprites, Music and SFX for your game project!"
Metamorphabet (2015),t,f,t,Vectorpark,"A playful, interactive alphabet."
Mausritter: The Estate Adventure Collection,f,f,f,Losing Games,Explore The Estate with 11 all-new adventures for Mausritter
Six Figures Under,f,f,f,Blinking Birch Games,Solo micro-games about being a freelance necromancer
Pushamo,t,t,t,brook.p8,shape-clearing tetromino push-em-up
Textreme 2,t,t,t,Ash K,a text editor that looks and feels like a game
Far From Home,f,f,f,ehronlime,A game about immigrants and outsiders
Dragon Drop,t,f,t,Cloudy Games LLC,Frenzied Couch-Multiplayer + Adorable Dragons!
The Witch's Almanac,f,f,f,tallywinkle,A magical game of solo exploration.
A Visit To San Sibilia,f,f,f,JimmyShelter,A solo journaling game about visiting an ever changing city
Magical Console Warriors,f,f,f,Inkskratch,Over 40 consoles personified as Magical Senshi!
CanariPack 1BIT TopDown,f,f,f,Canari Games,"1BIT 16x16 Tileset, Animated Sprites, Music and SFX for your game project!"
Windosill (2009),t,t,t,Vectorpark,A dreamlike point-and-click puzzle.
The Majesty of Colors,t,t,f,Future Proof Games,"Last night I had a dream. I floated in darkness, immense, squamous. Then I fell in love with the majesty of colors."
Into the Glacier,f,f,f,Peach Garden Games,"A Solitary Game of Exploration, Wonder, and Peril"
Cruel World,t,t,t,droqen,blame everybody else - a mingleplayer masocore platformer
Macbat 64,t,f,f,Siactro,Macbat 64 is a 3D Platformer and 4:3 loveletter to the late 90s.
Lutong Banwa,f,f,f,Diwata ng Manila,A Cooking Game. Sort of.
Bard Harder!,t,t,t,Shark and Pelican Games,Why fight when you can flirt?
Shutter Stroll,t,t,t,Jannik Boysen,generative photography simulator
Old Man's Journey,t,f,t,Broken Rules,"A game about life, loss and hope."
Demonizer,t,t,t,IoriBranford,Turn hateful humans into lovable demons in this 90s arcade style shooter
Ithaca in the Cards,f,f,f,ehronlime,A blackjack-driven story game of doomed travelers
Aventures en une page Â· Saison 1,f,f,f,Jdrlab,Une collection d'aventures bon enfant
DUFE: Masquerade,t,t,t,Galen Games,A villainous duo deal with the most frightening thing they have ever faced: their feelings
Cardinal Cross,t,t,t,LarkyLabs,Sci-Fi / Cyberpunk Visual Novel / Interactive Story Game
Skirmish: Wallet Friendly Wargaming,f,f,f,Biscuit Fund Games,A wargame that uses things you already own for miniatures
The Knights of the Road,f,f,f,bordercholly,A Tiny Role-Playing Game of High-Flying Adventure in a Monster-Infested 1920s
On The Path,f,f,f,Cat Elm,A Witcher-inspired hack of Honey Heist
Mysteries Under Lake Ophelia,t,f,f,Bryce Bucher,"Relax, and fish in a very strange lake."
FutureGrind,t,f,f,Milkbag Games,Nail the perfect line in the future's most challenging stunt sport!
Gun Rounds,t,f,t,blabberf,"Fast paced, turn-based shooter with a cute attitude!"
Sulphur Nimbus: Hel's Elixir,t,t,f,Oddwarg,Be a hippogriff in this momentum-based flying adventure game
Hope Is Not a Plan,f,f,f,Deus Ex Minima,A solo journaling game of late deliverables and contract change requests.
This Game Takes Place in Your Home Town,f,f,f,Jack Blair,A horror rpg for two players
Elf Genders,f,f,f,Lucian Kahn ðð§ð»ââï¸,Roll Tables for RPG Worldbuilding
Lair of the Gobbler,f,f,f,Emiel Boven,A dungeon for low Hit Die adventurers (1-2 HD)
MORIAH,f,f,f,Urania Games,A game of sacrifice and redemption.
Elephantasy,t,f,f,Linker,"Can you collect all the Gems, reach the Tower in the clouds, and return home?"
Adventure for a Bit,t,t,t,JUSTCAMH,Teach an AI to make the perfect world
Oniria's Slumber,f,f,f,FantasticJean,A game of dreamy ventures
The Vampire Next Door,f,f,f,Cat Elm,A game for bold and meddling kids
Mythmaker,f,f,f,kay w.,A tale of mythic antagonism.
Evergreen Wilds,f,f,f,Disaster Tourism,"Spend a season as a Park Ranger, exploring the Evergreen Wilds"
Beneath the Broken Sword,f,f,f,By Odin's Beard RPG,An introductory dungeon crawl adventure for Runecairn
Be Not Afraid A.K.A. Seraphim Horror Show!?,t,t,t,Autumn Rain,Divine horror game show! Win big AND die trying! Judgment is upon us.
Dates & Wires,t,t,t,Io Black,Romantic Misadventures in the Dark Cyberpunk Future of 1995
Lonely People Potion Shop,t,f,t,Kultisti,it's time to make some potions!
Vampire Night Shift,f,f,f,cloverfirefly,Can you survive working the night shift?
10S,t,f,f,owch,lift the veil
I'm a love interest in my childhood friend's reverse harem!!!,t,t,t,WitPOP,"An otome parody with a boys love twist, made for YaoiJam2019"
Questlandia,f,f,f,Turtlebun,A collaborative tabletop roleplaying game about personal victories in collapsing worlds.
Alone in Cyberspace,f,f,f,Michael Klamerus,A solo roleplaying game about exploring an archive of websites
Eldritch,t,t,t,Minor Key Games,Unearth ancient secrets and find your way to freedom!
KIDS,t,t,t,Playables,A game of crowds.
Tape,t,t,t,ÎERIFÂ°RM,Offline-first project management designed for artists and designers
Multi Platformer Tileset,f,f,f,Shackhal,Various 2D side-scrolling environments on pixel art for your projects!
Pullfrog,t,t,t,[AFK] Mario Carballo,"Tetris meets frog! A little puzzle platformer, equal parts fun and frustrating."
Two Summers,f,f,f,CÃ´me Martin,Live two wonderful adventures 30 years apart!
Adventures On A Single Page Â·Â Season 1,f,f,f,Jdrlab,A good-natured adventures collection
