name,win,linux,mac,author,description
Gutwhale,t,t,f,Stuffed Wombat,Fight your way through a whales digestive system!
MMM: Murder Most Misfortunate,t,t,t,Foolish Mortals,"A murder is committed in a secluded mansion, and it's up to you to solve it."
SHUT IN,t,f,t,HiddenTrack,Fight yourself. Die trying. The psychological horror/dark comedy game that hates you as much as you hate yourself.
Penance,t,t,t,Akselmo / Skale Games,"Destroy sin, earn your Peace. Oldschool FPS with procedural levels and a campaign mode"
Yi and the Thousand Moons,t,f,t,David Su,"A short video game musical consisting of several original interactive songs, featuring a full cast and live band."
RÃ©volution - RPG,f,f,f,Typhos Games,Tarot based RPG of political revolution in an alternate 1790s Paris
Rosette Diceless,f,f,f,Future Proof Games,"Consensus-based, story-focused, improvisational roleplaying"
Asterism,t,t,t,Crystal Game Works,Fight monsters and save the Zodiac.
Don't Escape: 4 Days to Survive,t,f,t,Armor Games Studios,Survive and escape through four days at the end of the world in this post-apocalyptic point-and-click thriller.
Scrapyard Junkbots,f,f,f,AndrÃ© Geleynse,A scrappy arcano-tech RPG about robots in the aftermath of the Arcane Apocalypse.
The W.A.R Book - Masks: A New Generation Fan Supplement,f,f,f,Five Points Games,Three Playbooks for Masks: A New Generation complete with rules for The Joined
Wicked Congregation,f,f,f,Daniel Kwan,"A solo journaling game about cults, objects of power, and isolation inspired by Resident Evil and the SCP Foundation."
Other Minds,t,t,f,Edward Atkin,Brutal collectathon platforming action with added mind control
Fur One Night Only! - Playbill Edition,f,f,f,Color Spray Games,A one-shot party RPG for 3+ fans of musicals and/or cats.
Haunting,f,f,f,Arcane Atlas Games,"A two-player, haunted house, roleplaying game"
Sunken Island,f,f,f,WuDeRPG,"A Shared Narrative where you Safe the Island today or tomorrow, or the day after .. doesn't matter - it's always Today!"
Whistling Wolf CafÃ©,f,f,f,Lucky Newt Games,"A solo cafÃ© sim game. ""You may not always get what you want, but you'll always get what you need."""
The Waiting,f,f,f,J.N. Butler (they/them),A one page GM-less roleplaying game of suspense for 1 or more players.
A New Shell,f,f,f,breathingstories,A small lyric game about starting again
Sword Saga,f,f,f,dannymakesrpgs,Telling the story of a weapon from its creation to when it stops being used
A NIGHTMARE'S TRIP,t,t,t,SKY HOUR WORKS,Turn the nightmares of the past into a fantastical dream made real.
Tallowmere,t,t,t,Chris McFarland,Raise your shield.
ART SQOOL,t,f,t,Glanderco,~*LET'S DRAW*~
The Wratch's Den ð¹,t,f,f,PUNKCAKE DÃ©licieux ð¥,Roguelike Dungeon Builder and Defender
WE ARE DOOMED,t,f,t,Vertex Pop,"Zap polygon baddies in a neon, geometric glitch world."
Dogs Throwing Swords II: Three Barks To The Wind,t,f,t,Lily V.,A sidescrolling bark-em-up where you create and guide a team of very good dogs to save their home!
Marginalia,t,f,f,Connor Sherlock,A slow burn horror game
BasketBelle,t,f,f,onemrbean,Experimental Basketball Adventure
Disobedient Sheep,t,t,t,sicklydove,A lighthearted sheep herd'em'up.
Commune Corvidae,t,f,f,Mike Agresta,Glide above the clouds and explore a rebuilding community
IGEO,t,f,t,Mindnumb Interactive,Colorful puzzler where you eliminate blocks by pushing them together.
The Search,t,f,f,Jason Godbey,A story-driven puzzle-adventure set in a mysterious world where art comes to life!
Nauticrawl,t,f,t,Armor Games Studios,"A stolen, enigmatic machine is your only way out. Puzzle out how to pilot the Nauticrawl in this atmospheric adventure."
Flufftopia,t,t,f,SmokeSomeFrogs,Clicker Game with Story
cryptkeeper,f,f,f,pancelor,the crypt broke again; better go reboot it
The Land Beyond,f,f,f,Cezar Capacle,A solo RPG about letting go
Headspun: Dazed Edition,t,f,f,SUPERSTRING,An FMV/Adventure hybrid set in the human brain
Cats are Liquid - A Light in the Shadows,t,t,t,Last Quarter Studios,A minimalistic 2D platformer about a cat with the ability to transform into liquid.
Not the Robots,t,t,t,2DArray,Not The Robots is this yearâs most exciting Roguelike Stealth Furniture Eating Simulator.
Xenogunner,t,f,f,Clickteam,Blast your way past a large variety of bosses in this intense boss-focused run-and-gun platformer!
Soundodger+,t,f,f,onemrbean,Dodge the beat and move to the music.
Hanukkah Goblins,f,f,f,Max Fefer,A lyrical GM-less Jewish game about Hanukkah goblins working together to save Hanukkah!
Operation STEEL,t,t,t,BB,A shoot-em-up with rogue-lite elements and beautiful hand-drawn graphics
Nebs 'n Debs (NES),f,f,f,Dullahan Software,Run-jump-dashing-platforming-crystal-collecting action!
The World is Ending and We Are Very Large Dogs,f,f,f,Eden,A Tabletop Game about Bringing Happiness at The End
Guppy,t,t,t,Christiaan Moleman,2D watercolor fish simulation
Future Unfolding,t,f,t,Spaces of Play,Explore a mysterious landscape filled with life.
Paris Gondo - The Life-Saving Magic of Inventorying,f,f,f,Kalum from The Rolistes Podcast,A Play-Based Method in SIX STEPS to BANISH ENCUMBRANCE FOREVER!
Reaching in the Dark,f,f,f,ostrichmonkey games,"A misty, fantasy PbtA Game"
The Frost Papers - Ten Games to Play in the Dark,f,f,f,Arcana Games,"""The Ouija Board of Roleplaying Games"""
Portrait in a Room of Mirrors,f,f,f,spines,"The mirrors reflect back each a different variation of your face, but only one image will remain true."
Wizard Pals,f,f,f,Tadhg Lyons,"A collaborative game of magic, friendship, and identity."
The Flexorcists,f,f,f,kumada1,Suplex the unseen. TTRPG.
A Great Miracle Happened Here,f,f,f,Seth Alter,A short Jewish revolutionary TTRPG
ThÃ¡lassa,f,f,f,zeruhur,Mythical Age Role-Playing Game
Rewwixta,f,f,f,GÄ§ar Gremxul,A solo storygen TTRPG about a local rebellion against colonial powers. Based on a Maltese folk game
Tarot Telling For Two,f,f,f,Dvaleris,A Tarot-based RPG for Two Players
Fossil Hunters,t,f,t,Reptoid Games,An action-adventure game about digging for fossils and building your own dinosaurs!
</reality>,t,t,t,Fancy Fish Games,"When a VR console feels more ""real"" than reality itself, Lilya must confront her beliefs about the nature of existence."
Hero Generations,t,f,t,Heart Shaped Games,"If every step was one year of your life, which path would you take?"
A Hole New World,t,t,t,MadGearGames,Fight the hordes of Shadows that come out  from the Underworld through thousand of holes
Quest of Dungeons,t,t,t,David Amador,"A turn based roguelike game. An evil Dark Lord has stolen all light, your mission is to enter his lair & defeat him."
Combo Postage,t,t,f,Kirk Lindsay,"Small 1-player puzzle action game: Dodge, tape, and stomp boxes!"
Interactivity: The Interactive Experience,t,f,f,Aetheric Games,Please enjoy this interactive exhibition. But not The Button.
Wizard Battle,t,f,t,Scott Ethington,A puzzle game about a wizard falling down a hole.
The Light at the End of the Ocean,t,t,t,Jane Titor,A visual novel about about unlikely friendship and loss of identity
Color Jumper,t,t,t,Tallbeard Studios,"An abstract, color-based puzzle platformer."
Choice Chamber,t,f,f,onemrbean,"A real-time, crowdsourced, procedurally generated game where your fate is in everyone else's hands"
Sun Dogs,t,f,t,Royal Polygon,a transhumanist adventure
8bit Overworld Tileset,f,f,f,itchabop,A retro flavoured topdown tileset with focus on ease of use.
gloom reducer,t,f,f,owch,?which way?
"In me, a constellation - a cosmic personality quiz",f,f,f,Nate Kiernan,"The stars watch and speak in archetypes. We align ourselves to them, and in doing so create stars of our own."
Pass the Buck: A Game of Corporate Responsibility Management,f,f,f,carolmertz,A Print-&-Play satirical card game for 3-5 players
Quiet as a Stone,t,f,t,Distant Lantern,Throw Rocks Plant Trees. Ambient slow game for casual creators. Countryside exploration and creation.
Bunny Hill Horror,t,f,f,Krunchy Fried Games,A Bizarro Horror Visual Novel Adventure
forma.8,t,f,t,MixedBagGames,Explore a remote alien planet with a unique visual style.
Shipwreck,t,t,t,Brushfire Games,"An adventure game in which you must travel the land, explore dungeons, and defeat monsters to escape the island."
Ripped Pants at Work,t,f,t,Scott Ethington,A frantic stealth game about searching for new pants
A Light Long Gone,t,t,f,muddasheep,Interactive music album release.
The Crystal Golem,t,t,t,Luis S.,Descend into the Earth and face the Void.
Spooky Station,t,f,f,EstÃºdio Vaca Roxa,Welcome to Spooky Station! A Halloween-themed game pack for all ages.
The Count of Monte Carlo,t,f,f,PhilBlank,Experience Blackjack like you've never seen before in this gambling RPG!
NO THING,t,t,t,Evil Indie Games,NO THING - Surreal Arcade Trip
LAZA KNITEZ!!,t,f,t,Glitchnap,LAZA KNITEZ!! is a fast-paced jousting deathmatch game for up to 4 players.
Curious Expedition,t,t,t,Maschinen-Mensch,A roguelike expedition simulation set in the late 19th century.
Death Drives A Bus,t,t,t,Tallbeard Studios,Deliver souls to heaven or heck before you run out of gas.
Widget Satchel,t,t,t,Noble Robot,Get widgets. Build doohickeys. Do mischief.
Rose & Time,t,t,t,Sophie Houlden,A short time-travel puzzle game
Possession,t,t,t,Weirdfellows,A turn-based traditional roguelike where you play as a ghost who can possess other creatures in the dungeon.
SPLASH BLAST PANIC,t,t,t,TeamKwaKwa,Competitive Multiplayer Party Game
Fake Illusions - Encore Update,t,t,f,Auroriax (Tom H.),Spot cheating optical illusions in the ultimate test of your focus!
dstnce.,t,f,f,daniel coady,"this is your game, it is what you make of it."
And Yet It Moves,t,t,t,Broken Rules,Turn your world upside-down!
Enoch's Wake: A Player's Guide to the Infinite Void,f,f,f,R. Rook Studio,"The fantasy comet city of Enoch, along with rules for character creation and play."
Dreampunk (rulebook),f,f,f,Xavid,a surreal card-based player-driven ttrpg
Planedawn Orphans,f,f,f,Sharkbomb Studios,A planepunk fantasy campaign kit for any system
sweet*peony,f,f,f,Adam Silverstein,Life in Simple Moments
Water Landing (Dracula Edition),f,f,f,theinstagrahame,"A survival scenario for the Cast Away RPG, powered by Carta."
Lords of Eternity,f,f,f,Live Real Productions,The Prize is big. The Power is great. Betrayal is always an option.
MiniFolks - Undead,f,f,f,LYASeeK,Pixel art characters pack
Runt Tabletop Roleplaying System,f,f,f,Devon Wiersma,An ultra-light RPG system for 2+ players requiring no cards or dice - just some friends and a little imagination.
Detail,f,f,f,HorsepondMine,A worldbuilding game for 1-5 players
Rodents with Guitars,f,f,f,CuriousCat Games,"A simple, fun TTRPG where characters are a bunch of rodents who want to win a guitar band contest (English and German)."
Delve Too Deep,f,f,f,seedling,A system-neutral fantasy one-shot adventure
Compromise//Empire,f,f,f,Swamphen,A 2-3 player GMless game about resisting Empire
Filmmakers Without Cameras: a film and games zine,f,f,f,Eryk Sawicki,a film and games magazine
CARRY ON - 24XX Monster Hunters,f,f,f,Chaosmeister,"The supernatural is real, and you are here to stop the monsters â an homage and goodbye to a 15-Season journey."
LZ13,f,f,f,emmy,Icy moon horror scenario
Doodle Date,t,f,f,Nick Lives,"Date your own drawings! Forget about finding true love; In Doodle Date, you create it!"
Spell Casting,t,t,t,Gord Games,Cast spells by tracing shapes!
Concentric,t,f,f,zerofiftyone,Concentric is a minimalist action game about gracefully moving in circles
Secrets of Raetikon,t,t,t,Broken Rules,Uncover the Secrets of RÃ¦tikon
The Fall of Lazarus,t,f,f,No Wand Studios,A first person exploration science fiction mystery game. Fathom all the story exploring an abandoned cargo spaceship.
Towayami,t,f,f,Andrea Pignataro,æ°¸ä¹é
Portal Dogs,t,f,f,Brain Connected,"In the puzzle platformer Portal Dogs, a horde of dogs are following their king through the portal world."
Wheels of Aurelia,t,t,t,Santa Ragione,A narrative racing game set in the roaring Italian 70s
FroggieChat,t,f,f,Stupid++,A faithful remake of Pictochat for Windows and Android
Ossuary,t,f,f,Future Proof Games,Fall into the place of bones.
"Frick, Inc.",t,t,f,Kenney,Control various trucks through challenging levels!
Dawn of a Soul,t,t,t,Waldemar Umaniz,A mathematical puzzle game about creating perfectly balanced paths by building chains and combos.
Intra-System: Trust Issues,t,t,t,SmokeSomeFrogs,Intra-System: Trust Issues is a short game based on decisions.
An Airport Game,t,f,t,Konig Games,You've got one hour to make your flight and you're about to hit every conceivable airport related obstacle imaginable!
Batbarian: Testament of the Primordials,t,f,f,Dangen Entertainment,"A snarky, 2D action adventure featuring hundreds of puzzle-filled rooms in an eldritch abyss!"
pygame 4000 book,f,f,f,pygame,"pygame programming book. Support pygame, and learn you some python, C and pygame."
The Machine's Garden,t,f,t,Too Much Tomato,solve puzzles & unravel the mystery of the Machine's garden
The Empire Never Ended,f,f,f,Majcher Arcana,Philip K. Dick inspired hack of What's So Cool About Outer Space?
Sedentary Dances,f,f,f,Rule 42 Arts Coalition,A Zine Collection of Poetry Games
Gift of the Sea,f,f,f,Glowing Roots Press,A tidal folk horror incursion for Trophy Dark
There's A Wolf In Those Woods,f,f,f,Alex Rinehart,A murder mystery experience for 5-6 players
Dragons of Tirenia Adventure Module: Double Cross (for use with 5e),f,f,f,skybeargames,"The adventure 'Double Cross', and the introductory guide to Dragons of Tirenia, a new RPG campaign setting (using 5e)"
The Anatomy of A Song,f,f,f,yanahn,Follow a Song through its Life - A Solo Journaling Game
Beyond Super: Life Behind The Mask,f,f,f,Max KÃ¤mmerer (he/they),Take a peek behind the mask of a superhero
The Vitacernis,f,f,f,brstf,A settlement + adventure for the Mausritter RPG
Third Sphere,f,f,f,Spooky Jaguar Productions,Death Grips inspired Troika! zine for ZIMO 2022.
Haiduc,f,f,f,Haiduc,
Sound Typist,t,f,f,andyman404,This app gives your keyboard responsive audio feedback for a better typing experience
Born of a Bloody Film,f,f,f,ATypicalFaux,4 MÃRK BORG Horror Movie Monsters
Dark Academia Ren'py GUI Design,f,f,f,Jaime Scribbles Games,A custom GUI made for Ren'py visual novels
We Are Champion,f,f,f,Asmus/Kinas,A competitive TTRPG about an unknowing champion and their patrons.
A Voyage to Fairy-Land,f,f,f,amandalee,15 paper minis for tabletop rpgs
Birds Love Dirt!,f,f,f,Emily Jankowski,"Be a bird, play in the dirt, have fun"
Pastel Paradise,f,f,f,Robin FjÃ¤rem,A vacation sphere for Troika!
"Hi [NAME], I'm Dad!",f,f,f,breathingstories,This is how to be a dad in 2 simple steps
Dangerous Roads Ahead,t,t,t,Maxjk0,What happens when you remake a game that was never meant to be played?
Immanence,f,f,f,spicycurrybread,A sci-fi slice-of-life RPG set on a massive interstellar passenger ship
TEOCALLI,f,f,f,coldrice,Traverse 13 levels of the temple to find the lost treasure!  1bit Roguelike
Nepenthe,t,t,t,Yitz,You wake up with no memory. Your day is starting off great!
Peck N Run,t,f,f,Spilt Milk Studios,Feed the chicks! A fast-paced arcade action game about pecking... and running.
Home - A Unique Horror Adventure,t,f,t,BancyCo,Home is a murder mystery with a twistâbecause you decide what ultimately happens.
EVADER,t,f,f,zerofiftyone,Graceful twin-stick arcade action with no bullets.
Planet Diver,t,t,t,Fabraz,Planet Diver is about an adventurous daredevil tackling her newest obsession: Wing suit diving.
Clean ATTACK!,t,f,f,diadas,Window Cleaner Man comes to rescue Window Town to clean its windows.
Head AS Code,t,f,f,Miracle Moon,"Eight captives cooperate or compete for escape, all under the manipulation of a dangerous psychopath."
Blast Rush,t,f,f,Bipedal Dog,The infinite-bomb shoot-em-up
Interstellaria,t,t,t,coldrice,"Manage a fleet across a dangerous galaxy! Battle in space, and on planets."
Quible Sphere,t,t,t,Hertzole,Ball rolling platformer
Catlandia: Crisis at Fort Pawprint,t,f,t,Polar Tabby,Be A Cat
RB: Axolotl,f,f,f,Actawesome,"A dark and emotional mystery, dripping with humor and full of surprises, starring cute axolotls!"
Sub-Uber-Marine,t,t,t,Extar,Pilot a submarine taxi in this fast-paced arcade game
Intelligent Design: An Evolutionary Sandbox,t,t,f,Pill Bug Interactive,A toy ecosystem with fully simulated genetics and evolution.
Swung,t,f,f,Extra Nice,Be the SWORD!
Button City,t,f,t,Subliminal Gaming,A narrative-adventure about a fox and an arcade in the sky.
Chronology: Time Changes Everything,t,f,f,Bedtime Digital Games,"A platform-adventure game about time travelling, puzzle solving and a friendship between an Old Inventor and a Snail."
Gunhouse,t,t,t,Necrosoft Games,Load your guns! Rain death from above!
24 Game Poems,f,f,f,Majcher Arcana,"Twenty-four short, evocative role playing games for two or more players."
Paradise Killer Art Works,f,f,f,KaizenGameWorks,"Paradise Killer Art Works collects the beautiful character art, and sun drenched environments from Paradise Killer."
INDEPENDANT VIDEO VIDEO GAME,t,f,t,BenWeatherall,FMV Performance art piece.
Stellar Interface,t,t,t,ImaginationOverflow,A space-shooter meets a rogue-like.
Roll for Confidence: A CMC Vignette,t,t,t,Toadhouse Games,"A wholesome story about what it means to be a strong, confident woman."
Top of the Table Soccer,f,f,f,tim zee,The pen and paper soccer game.
The Geography,t,t,t,Paws Menu,an endless nonlinear orchestration
World of Wyldrvir Core Book (Anniversary Edition),f,f,f,Wyldrvir RPG,Welcome to Wyldrvir! Your journey starts again today!
Quest Of Graal DX,t,t,t,pixel-boy,Racing platformer with splitscreen multiplayer
The Pried Eye: A Trophy Dark Incursion,f,f,f,ATypicalFaux,Step into cosmic body horror and ego death
Filmmakers Without Cameras: The Second Issue,f,f,f,Eryk Sawicki,a film and games magazine
NETWORK 23 [ENG],f,f,f,Mangusta,Weird 'n' Wonderful cyberpunk.
Taimumari: Definitive Edition,t,f,f,TERNOX,Retro-style platform game in keeping with the best traditions of games of our childhood
Deep Forest - 16 Colour Tileset,f,f,f,aamatniekss,Limited 16 colour palette tileset
Soft Focuses,f,f,f,C. R. Legge,You are an alternate version of yourself. You have ADHD.
Iron Edda Reforged: Season One - Jotunheim (ALPHA),f,f,f,TheOtherTracy,"Ragnarok is coming, and it's you"
Chinese Ghost Stories We Tell Ourselves,f,f,f,DaredevilAlyx,"Be a member of a Chinese Family, collaboratively exploring and creating a Chinese Ghost story"
UNBEATABLE: DEMO TAPES,f,f,f,D-CELL GAMES,The official soundtrack for UNBEATABLE [white label]!
GrimBlade RPG,f,f,f,Beckelhimer,A light and fast-paced roleplaying game of adventures and stories set within an implied Grim Fantasy world.
"Orchidelirium, Volume One: Expedition Rules",f,f,f,Luke (Ãther Corp),A Tabletop Role-Playing Game regarding Orchid Hunting during the Reign of Queen Victoria
The Manse on Soracca,t,f,f,MoonMuse,A retro adventure game of mystery and madness!
"Rising Tide, a Paragon Playset",f,f,f,cosmicbeagle,Global Direct Action Ecojustice
Ribbons: A Setting Guide for Masks,f,f,f,Eva Terra,Magical girls fighting evil and schoolwork.
Kakatte Koi Yo!,t,f,f,Back Slash Games,A platform fighting game about cats.
Playing Kindly,f,f,f,Jacqueline Bryk,"Thoughts on Safety, Solidarity, and Integrity in Analog Games"
Pixross,t,t,f,Kenney,Over 160 relaxing logic puzzles!
The Map-a-Plot Deck,f,f,f,Eric Nieudan,"54 cards to create a fantasy plot. For use in writing, RPG prep, and improv'd story games."
Witch You Were Here,f,f,f,breathingstories,A spell for time travel to more beautiful times.
Sophie's Cubes,t,f,t,Sophie Houlden,A puzzle cube program
Curse of the Emerald Sea,f,f,f,Robin FjÃ¤rem,A sandbox swashbuckling setting for Knave
Monster Realm: Student Exchange Program,f,f,f,Lucky Newt Games,"In a school of monsters, will you make lasting friendships or bitter enemies?"
DEMONBREAKERS,f,f,f,instadeath,A one page rpg that is basically Ghostbusters in a Monty Python and the Holy Grail setting.
FURIOUS ROADS -  Postapoc Tricube Tales,f,f,f,Chaosmeister,Enjoy frenzied action while you strive to survive in a desolate wasteland.
Duelists Of The Pages,f,f,f,StarshineScribbles,Create Swords From Your Words
Salthaven,f,f,f,Robin FjÃ¤rem,An adventure for Cairn
Panic Factory,t,f,f,Pix Grinder,
Mutiny Island,t,f,f,Elushis,"Mutiny Island is an open-world style pirate game. Reclaim your ship, The Red Dawn, by any means!"
StarFighter R&D HD Edition,t,t,t,Gord Games,Research - Design - Test
Curse of the Crescent Isle DX,t,t,t,1amowery,Save your kingdom!
ERRANCE,f,f,f,angela-quidam,"a one-page game (zine?) about forced departure, roaming and hopes"
Without Escape,t,t,t,Bumpy Trail Games,Horror Point and Click Graphic Adventure
The Tower: The Order of XII,t,t,f,Sword Garden Studios,"The Tower: The Order of XII is a humble puzzle game, a fantasy interconected franchise of games, stories and characters."
Hellcraze,t,f,f,ELV Games,Bullet hell dungeon crawling with a simple mission... KILL THEM ALL!
"About Love, Hate & the other ones",t,t,t,Black Pants Studio,A puzzle game starring Love & Hate
The Black Pit,f,f,f,zeruhur,A Sphere for Troika!
Build a Druid,f,f,f,Eliot Silvarian,A character creation pack for role playing or storytelling.
Fairy Corgi Steeplechase,f,f,f,Varnished Truths,a 1-page racing game with fairies and corgis
An American Werewolf in LA (EN),t,f,f,PlayMedusa,Spiritual successor to the 80s classic âAn American Werewolf in Londonâ
Record Store Nightmare,t,f,f,hotseatgames,The dead have risen... and they want music!
Catty & Batty: The Spirit Guide,t,t,f,muddasheep,Cooperatively build a path to guide spirits home ð»ðð¦
SpaÃ Taxi,t,t,t,ScaniX,"Retro action/dexterity game. Remake/Clone of the classic ""Space Taxi"""
ParamediCats,t,t,t,Jasonsumm,"an animal-themed treat-em-up, with over 10 animal species to meet AND treat"
Attraction Force,t,f,f,and0,"Attract, dodge, kick!"
Hexed,t,f,f,Misfit Games,People are vanishing and monsters are appearing more often. It's time to find out why!
Chimpology,t,t,t,themorfeus,"Internet was slow, because monkeys."
"HomeTeam GameDev training library: gamedev textbook, examples, exercises, articles, productivity & philosophy audiobooks",f,f,f,HomeTeam GameDev,"Game development ebooks, plus two audiobooks"
Last Fleet,f,f,f,Black Armada Games,The last of humanity flee across space from a merciless inhuman adversary
HÃ©ros d'Argile,f,f,f,angeldustjdr,ProtÃ©ger ceux qu'on aime
Tiny Tales: Overworld 2D Tileset Asset Pack,f,f,f,Mega Tiles,A 2D top-down based tileset pack for your RPG and Rogue-like game creation needs!
SC: Monster Pack 2 - DELUXE EDITION,f,f,f,SeraphCircle,"20+ monsters, 5+ variants each! Featuring itch.exclusive bonuses: PSDs, Drafts, Updated artworks and new variations!"
Infini,t,t,f,Barnaque,Lose yourself in Infinityâ¦ but never lose Hope. Try to escape a world of never-ending puzzles and oddities.
Attentat 1942,t,t,t,Charles Games,Historically-accurate adventure about ordinary people during World War 2.
Slow Sleigh to Plankton Downs,f,f,f,Melsonian Arts Council,A journey to the glaciated world of Mora's Misstep
"Die, Grave Robber, Die!",f,f,f,Michael Van Vleet,A gothic horror incursion fueled by Trophy Dark!
Old Gods and Young Guns,f,f,f,Rat Wave Game House,A marble-based story game in two parts. Jack Kirby's Fourth World meets the space western.
To Stand Before the Dragon's Wrath,f,f,f,Glaive Guisarme Games,Slay a dragon or die in the attempt.
Penumbra: A Trophy Dark Incursion,f,f,f,ATypicalFaux,Only the poison can save them
Shell Out Showdown,t,t,f,manadream,"A food-fight, reverse battle royale, set in the near future. Control a sapient vending machine and throw food to glory!"
Wonderland Nights: White Rabbit's Diary,t,t,f,skybeargames,Play as the White Rabbit in a schedule-based visual novel game set in the world of Alice in Wonderland.
RAYCATS!â¢ - NEW RELEASE!,f,f,f,6 String Games,A MICRO-RPG about TOTALLY RAD nuclear-mutant cats!
MiniFolks - Orcs,f,f,f,LYASeeK,Pixel art characters pack
The Creature Comes for Us,t,t,t,OrionQK,"A card-drawing game for 1+ players. Create a world, a menace to threaten it, heroes to fight it, and then do battle."
Tic Tac Together,t,f,f,andrfw,A team-based twist on Tic Tac Toe!
Murder at the Cat Show,t,f,t,ShontÃ©,A light-hearted murder mystery about cats and middle-aged ladies.
Dwarves of Renidar,f,f,f,Stuart Watkinson,A players guide to a dwarven culture.
Asteroids... But Roguelite,t,f,f,GhostGoats,
Loot the Plutes,f,f,f,Penflower Ink,"A table-top role playing game of heists, roguish swashbuckling & wealth redistribution."
Wanderers,f,f,f,Aurora_Sanguine,A fantasy tabletop RPG when you choose your characters and then create the world
Statuesque,f,f,f,Whimsy Machine,A Solo/Dual TTRPG in Two Acts
Millikan's Reach,t,f,f,Inferior Planet,A Streamlined Open-World Space Sim
Butterflies Episode 2: Getting Up,t,t,t,Le Capitaine,Stop playing games 'til I'm done exchanging names
2   9   0   1  / / FREELANCER,t,f,t,notsleeping,>TRASHY CYBERPUNK  SIM
Hell Holes,f,f,f,Aryxymaraki,A fantasy golf dice game about escaping from Golf Hell through victory in a demonic golf tournament.
Here & Far,f,f,f,instadeath,A solo journaling game about not being able to communicate.
Blugard,f,f,f,Live Real Productions,"The King is guarded by the Blugard, ancient guardians tasked with defending the body that brings life to the world."
Build a Bard,f,f,f,Eliot Silvarian,A character creation pack for role playing or storytelling.
All Hands on Deck,f,f,f,Alice V.,"A storytelling game about a ship, its crew, and the sea they sail on"
Into the Forest,f,f,f,Secret Foxfire,A tabletop game for 1-3 players about exploring an ancient forest.
Hairic RPG Minis - Hero Pack 02,f,f,f,Hairic Lilred,A collection of Paper miniature for your RPG campains
The Wizard's Co-Op,f,f,f,Gem Room Games,"A mesa most magical, home to six irresponsible wizards making life hell for the whole countryside!"
Spectre Moose is on the Loose!,f,f,f,Jason Miscia,A game of moose-like determination & attention-seeking behavior.
Nonsense Soccer,t,t,t,AnttiKole,Arcade-style 2D platformer-soccer-hybrid
Pleasant Dreams: The Welcoming Play of Kirby's Dream Land,f,f,f,Joel Couture,An unofficial look at Kirby's Dream Land's attitudes towards difficulty in games and its ability to teach new players.
Dinos for Quest - Volume I,f,f,f,tim zee,An NPC booklet for Quest
Enchanted Blend,f,f,f,Lucky Newt Games,Infuse your favorite hot drink with some magic to help you through your day.
New Heights,f,f,f,somewhere with stories,"It is time to begin your journey: new skies, new sights, new shapes to see above familiar ground."
The Season,f,f,f,Rue (ilananight),A Regency Era One Page RPG
VOID,t,f,f,Kent Reese (whenbellstoll),a game about finding knowledge in darkness
KING IS DEAD,f,f,f,Seraaron,"Print-n-play TTRPG about a family of giants, their feuds, and a prophesy that spells doom. Inspired by Welsh Mythology"
The Last Librarian,t,t,f,Cloaked Games,Action-Adventure Puzzle game. Open-world exploration and puzzling dungeons.
Zombusters,t,t,t,Retrowax,A retro style zombies shooter with cool isometric pixel art
Vienna Automobile Society,t,f,t,Royal Polygon,An arcade racing game of strategy and reflexes
Last Knight: Rogue Rider Edition,t,f,t,Toco Games,Last Knight is over-the-top jousting action in a beautiful brutal fantasy world!
"It's Six Random Characters and a Single Floor Dungeon, That's the Whole Game",t,f,t,CannibalInteractive,A one floor 2-bit roguelike first person dungeon crawler.
The Fantaballous Tilt,t,f,f,TerraDev64,A Marble Maze game.
Polyroll,t,f,f,HOF Studios,The roly poly with attitude has to rescue his friends in this retro platformer inspired by the classics!
Clash Force,t,f,f,Shiny Dolphin Games LLC,"A retro, 8-bit style run-and-gun inspired by Saturday morning cartoons of the 80s!"
The Spark of One,t,t,t,Princemarioone,A game for Dr. Martin Luther King Jr.
Cycle 28,t,t,f,Pill Bug Interactive,Classic arcade space combat game where you have six minutes to beat your high-score.
The Great Soul Train Robberyâzine edition,f,f,f,Cloven Pine Games,A game of Desperados robbing the train to Hell. A complete ttrpg in zine form.
Final Spike,t,f,t,Sean Heron,Make sets. Bob and hit. Spike it down. A one-on-one beach volleyball game.
Swim Out,t,t,t,Lozange Lab,A puzzle game that makes a splash
Ready Set Bake: a floury mini-RPG,f,f,f,Sunken Rust,A mini TTRPG for 4-14 Bakers and a Host
Chronicles of two Heroes,t,f,f,Infinity Experience,Chronicles of 2 Hereoes: Amaterasuâs Wrath is a 2d action platforming game with metroidvania elements.
MiTOS,t,f,f,Kikimora Games,"You are an invader,  a multiplying army of one.  This world is dying and you are here to take part in the feast."
Purple Noise Echo,t,f,t,ukioq,An ambient tactical game in which you play a silicon entity in a dark and abstract universe made of hexagonal tiles.
Steam Marines 2,t,t,t,WorthlessBums,Steam Marines 2 - a steampunk tactics game
GourMelee,t,f,t,Anthony Tesija,A 2-8 player local multiplayer party game where friends share controllers to become the best chef in the kitchen
Good Morning Hon,t,t,t,Jess Andz,You said you'll always be with me.
"An Outcry, prelude",t,f,f,Quinn K.,A short alt-literature delivery device by Quinn K. and Jack King-Spooner
Steam Marines,t,t,t,WorthlessBums,Squad-based roguelike - marines on a steampunk spaceship.
